Region/Country/Area,Series,Value
Niger,Services,16.8
Nigeria,Agriculture,43.8
Nigeria,Industry,11.8
Nigeria,Services,44.4
North Macedonia,Agriculture,15.7
North Macedonia,Industry,34.7
North Macedonia,Services,49.6
Norway,Agriculture,2.9
Norway,Industry,30.1
Norway,Services,67
Oman,Agriculture,5
Oman,Industry,36.5
Oman,Services,58.5
Pakistan,Agriculture,28.7
Pakistan,Industry,28
Pakistan,Services,43.3
Panama,Agriculture,17.7
Panama,Industry,24.8
Panama,Services,57.5
Papua New Guinea,Agriculture,55.8
Papua New Guinea,Industry,10.5
Papua New Guinea,Services,33.7
Paraguay,Agriculture,23.7
Paraguay,Industry,24.8
Paraguay,Services,51.5
Peru,Agriculture,28.5
Peru,Industry,21
Peru,Services,50.5
Philippines,Agriculture,28.4
Philippines,Industry,26.2
Philippines,Services,45.4
Poland,Agriculture,9.9
Poland,Industry,43.9
Poland,Services,46.2
Portugal,Agriculture,7.6
Portugal,Industry,33.7
Portugal,Services,58.7
Puerto Rico,Agriculture,1.6
Puerto Rico,Industry,21.5
Puerto Rico,Services,76.9
Qatar,Agriculture,1.4
Qatar,Industry,62
Qatar,Services,36.6
Republic of Korea,Agriculture,5
Republic of Korea,Industry,33.6
Republic of Korea,Services,61.4
Republic of Moldova,Agriculture,38.7
Republic of Moldova,Industry,22.4
Republic of Moldova,Services,38.9
Romania,Agriculture,21.4
Romania,Industry,36.8
Romania,Services,41.8
Russian Federation,Agriculture,7.3
Russian Federation,Industry,37.1
Russian Federation,Services,55.5
Rwanda,Agriculture,52
Rwanda,Industry,15.7
Rwanda,Services,32.3
Saint Lucia,Agriculture,21.5
Saint Lucia,Industry,27.1
Saint Lucia,Services,51.4
Saint Vincent & Grenadines,Agriculture,14.8
Saint Vincent & Grenadines,Industry,29.5
Saint Vincent & Grenadines,Services,55.7
Samoa,Agriculture,41.9
Samoa,Industry,18.2
Samoa,Services,40
Sao Tome and Principe,Agriculture,23.7
Sao Tome and Principe,Industry,25.9
Sao Tome and Principe,Services,50.5
Saudi Arabia,Agriculture,2.6
Saudi Arabia,Industry,28.2
Saudi Arabia,Services,69.2
Senegal,Agriculture,32.9
Senegal,Industry,19
Senegal,Services,48.1
Serbia,Agriculture,16.9
Serbia,Industry,33.9
Serbia,Services,49.2
Sierra Leone,Agriculture,57.5
Sierra Leone,Industry,11.7
Sierra Leone,Services,30.8
Singapore,Agriculture,1
Singapore,Industry,18.6
Singapore,Services,80.4
Slovakia,Agriculture,3
Slovakia,Industry,49.2
Slovakia,Services,47.8
Slovenia,Agriculture,5.6
Slovenia,Industry,44.8
Slovenia,Services,49.6
Solomon Islands,Agriculture,37.2
Solomon Islands,Industry,14.6
Solomon Islands,Services,48.2
Somalia,Agriculture,81.9
Somalia,Industry,4.1
Somalia,Services,14
South Africa,Agriculture,6.1
South Africa,Industry,31.7
South Africa,Services,62.2
South Sudan,Agriculture,40.6
South Sudan,Industry,20
South Sudan,Services,39.4
Spain,Agriculture,5.6
Spain,Industry,29.4
Spain,Services,65
Sri Lanka,Agriculture,22.3
Sri Lanka,Industry,31.4
Sri Lanka,Services,46.3
State of Palestine,Agriculture,5.8
State of Palestine,Industry,36
State of Palestine,Services,58.2
Sudan,Agriculture,34.8
Sudan,Industry,20
Sudan,Services,45.2
Suriname,Agriculture,9.4
Suriname,Industry,32.9
Suriname,Services,57.7
Sweden,Agriculture,2.3
Sweden,Industry,27.7
Sweden,Services,69.9
Switzerland,Agriculture,3.3
Switzerland,Industry,29.1
Switzerland,Services,67.6
Syrian Arab Republic,Agriculture,10.9
Syrian Arab Republic,Industry,29.6
Syrian Arab Republic,Services,59.4
Tajikistan,Agriculture,34.9
Tajikistan,Industry,21.1
Tajikistan,Services,43.9
Thailand,Agriculture,33.6
Thailand,Industry,25
Thailand,Services,41.4
Timor-Leste,Agriculture,46.5
Timor-Leste,Industry,11.5
Timor-Leste,Services,42
Togo,Agriculture,39.3
Togo,Industry,12.7
Togo,Services,48
Tonga,Agriculture,37.2
Tonga,Industry,15.3
Tonga,Services,47.5
Trinidad and Tobago,Agriculture,4.1
Trinidad and Tobago,Industry,37.2
Trinidad and Tobago,Services,58.7
Tunisia,Agriculture,13.8
Tunisia,Industry,32.4
Tunisia,Services,53.7
Turkey,Agriculture,14.6
Turkey,Industry,31.1
Turkey,Services,54.4
Turkmenistan,Agriculture,20
Turkmenistan,Industry,45.7
Turkmenistan,Services,34.3
Uganda,Agriculture,68.3
Uganda,Industry,9.9
Uganda,Services,21.8
Ukraine,Agriculture,16.2
Ukraine,Industry,34.8
Ukraine,Services,49
United Arab Emirates,Agriculture,1.6
United Arab Emirates,Industry,40.1
United Arab Emirates,Services,58.2
United Kingdom,Agriculture,1.4
United Kingdom,Industry,26.9
United Kingdom,Services,71.7
United Rep. of Tanzania,Agriculture,63
United Rep. of Tanzania,Industry,10.2
United Rep. of Tanzania,Services,26.8
United States of America,Agriculture,1.8
United States of America,Industry,29.2
United States of America,Services,69
United States Virgin Islands,Agriculture,5.7
United States Virgin Islands,Industry,32.4
United States Virgin Islands,Services,61.9
Uruguay,Agriculture,11.5
Uruguay,Industry,27.1
Uruguay,Services,61.4
Uzbekistan,Agriculture,22.9
Uzbekistan,Industry,38.6
Uzbekistan,Services,38.5
Vanuatu,Agriculture,56.1
Vanuatu,Industry,9.4
Vanuatu,Services,34.6
Venezuela (Boliv. Rep. of),Agriculture,13.1
Venezuela (Boliv. Rep. of),Industry,21.5
Venezuela (Boliv. Rep. of),Services,65.4
Viet Nam,Agriculture,35
Viet Nam,Industry,32.7
Viet Nam,Services,32.3
Western Sahara,Agriculture,17.7
Western Sahara,Industry,29.2
Western Sahara,Services,53.1
Yemen,Agriculture,27.4
Yemen,Industry,9.9
Yemen,Services,62.7
Zambia,Agriculture,43.7
Zambia,Industry,16.7
Zambia,Services,39.6
Zimbabwe,Agriculture,62.9
Zimbabwe,Industry,11.3
Zimbabwe,Services,25.8
