country,category,value,gender
Zambia,Services,40.7,both
Zimbabwe,Agriculture,66.3,both
Zimbabwe,Industry,6.5,both
Zimbabwe,Services,27.2,both
"Total, all countries or areas",Agriculture,25.4,female
"Total, all countries or areas",Industry,16,female
"Total, all countries or areas",Services,58.6,female
Afghanistan,Agriculture,64.8,female
Afghanistan,Industry,24.8,female
Afghanistan,Services,10.3,female
Albania,Agriculture,40,female
Albania,Industry,16.2,female
Albania,Services,43.8,female
Algeria,Agriculture,3.5,female
Algeria,Industry,23.3,female
Algeria,Services,73.2,female
Angola,Agriculture,56,female
Angola,Industry,1.1,female
Angola,Services,42.9,female
Argentina,Agriculture,0,female
Argentina,Industry,8.6,female
Argentina,Services,91.3,female
Armenia,Agriculture,31.9,female
Armenia,Industry,9.2,female
Armenia,Services,58.9,female
Australia,Agriculture,1.6,female
Australia,Industry,8,female
Australia,Services,90.4,female
Austria,Agriculture,3.1,female
Austria,Industry,11.6,female
Austria,Services,85.4,female
Azerbaijan,Agriculture,40.9,female
Azerbaijan,Industry,6.1,female
Azerbaijan,Services,52.9,female
Bahamas,Agriculture,0.3,female
Bahamas,Industry,2.9,female
Bahamas,Services,96.8,female
Bahrain,Agriculture,0,female
Bahrain,Industry,8.6,female
Bahrain,Services,91.4,female
Bangladesh,Agriculture,56.5,female
Bangladesh,Industry,18.3,female
Bangladesh,Services,25.2,female
Barbados,Agriculture,1.5,female
Barbados,Industry,9,female
Barbados,Services,89.5,female
Belarus,Agriculture,7.1,female
Belarus,Industry,18.5,female
Belarus,Services,74.3,female
Belgium,Agriculture,0.6,female
Belgium,Industry,8.3,female
Belgium,Services,91.1,female
Belize,Agriculture,4.6,female
Belize,Industry,9.3,female
Belize,Services,86,female
Benin,Agriculture,29.6,female
Benin,Industry,16.5,female
Benin,Services,53.9,female
Bhutan,Agriculture,62.9,female
Bhutan,Industry,10.4,female
Bhutan,Services,26.6,female
Bolivia (Plurin. State of),Agriculture,30.2,female
Bolivia (Plurin. State of),Industry,10.1,female
Bolivia (Plurin. State of),Services,59.7,female
Bosnia and Herzegovina,Agriculture,15.1,female
Bosnia and Herzegovina,Industry,17.9,female
Bosnia and Herzegovina,Services,67,female
Botswana,Agriculture,16,female
Botswana,Industry,9.4,female
Botswana,Services,74.6,female
Brazil,Agriculture,4,female
Brazil,Industry,10.3,female
Brazil,Services,85.7,female
Brunei Darussalam,Agriculture,0.5,female
Brunei Darussalam,Industry,8.9,female
Brunei Darussalam,Services,90.6,female
Bulgaria,Agriculture,4,female
Bulgaria,Industry,22.1,female
Bulgaria,Services,73.9,female
Burkina Faso,Agriculture,16.6,female
Burkina Faso,Industry,33.8,female
Burkina Faso,Services,49.6,female
Burundi,Agriculture,96,female
Burundi,Industry,0.4,female
Burundi,Services,3.7,female
Cabo Verde,Agriculture,6.1,female
Cabo Verde,Industry,11,female
Cabo Verde,Services,82.9,female
Cambodia,Agriculture,33.2,female
Cambodia,Industry,27.8,female
Cambodia,Services,38.9,female
Cameroon,Agriculture,47.2,female
Cameroon,Industry,11.3,female
Cameroon,Services,41.4,female
Canada,Agriculture,0.9,female
Canada,Industry,8.3,female
Canada,Services,90.8,female
Central African Republic,Agriculture,81,female
Central African Republic,Industry,2.7,female
Central African Republic,Services,16.3,female
Chad,Agriculture,74.5,female
Chad,Industry,0.6,female
Chad,Services,25,female
Channel Islands,Agriculture,2,female
Channel Islands,Industry,10.2,female
Channel Islands,Services,87.8,female
Chile,Agriculture,4.8,female
Chile,Industry,9.9,female
Chile,Services,85.3,female
China,Agriculture,22.1,female
China,Industry,25.1,female
China,Services,52.8,female
"China, Hong Kong SAR",Agriculture,0.1,female
"China, Hong Kong SAR",Industry,3.9,female
"China, Hong Kong SAR",Services,96,female
"China, Macao SAR",Agriculture,0.1,female
"China, Macao SAR",Industry,2.5,female
"China, Macao SAR",Services,97.4,female
Colombia,Agriculture,7.6,female
Colombia,Industry,14.6,female
Colombia,Services,77.7,female
Comoros,Agriculture,55.2,female
Comoros,Industry,9.7,female
Comoros,Services,35.1,female
Congo,Agriculture,33.1,female
Congo,Industry,21,female
Congo,Services,45.9,female
Costa Rica,Agriculture,4.1,female
Costa Rica,Industry,10.8,female
Costa Rica,Services,85,female
Côte d’Ivoire,Agriculture,30.3,female
Côte d’Ivoire,Industry,10.8,female
Côte d’Ivoire,Services,59,female
Croatia,Agriculture,4.5,female
Croatia,Industry,14.9,female
Croatia,Services,80.7,female
Cuba,Agriculture,7.2,female
Cuba,Industry,10.1,female
Cuba,Services,82.7,female
Cyprus,Agriculture,0.9,female
Cyprus,Industry,6.1,female
Cyprus,Services,93,female
Czechia,Agriculture,1.6,female
Czechia,Industry,23.4,female
Czechia,Services,74.9,female
Dem. People's Rep. Korea,Agriculture,59.4,female
Dem. People's Rep. Korea,Industry,6.8,female
Dem. People's Rep. Korea,Services,33.8,female
Dem. Rep. of the Congo,Agriculture,72.2,female
Dem. Rep. of the Congo,Industry,3.5,female
Dem. Rep. of the Congo,Services,24.3,female
Denmark,Agriculture,0.9,female
Denmark,Industry,8.4,female
Denmark,Services,90.7,female
Djibouti,Agriculture,30.2,female
Djibouti,Industry,7.6,female
Djibouti,Services,62.2,female
Dominican Republic,Agriculture,1.3,female
Dominican Republic,Industry,9.3,female
Dominican Republic,Services,89.4,female
Ecuador,Agriculture,26.5,female
Ecuador,Industry,10.6,female
Ecuador,Services,62.9,female
Egypt,Agriculture,34.9,female
Egypt,Industry,7.2,female
Egypt,Services,58,female
El Salvador,Agriculture,3.3,female
El Salvador,Industry,17.2,female
El Salvador,Services,79.5,female
Equatorial Guinea,Agriculture,42.6,female
Equatorial Guinea,Industry,10.2,female
Equatorial Guinea,Services,47.2,female
Eritrea,Agriculture,65.4,female
Eritrea,Industry,4.5,female
Eritrea,Services,30,female
Estonia,Agriculture,1.5,female
Estonia,Industry,16.8,female
Estonia,Services,81.7,female
Eswatini,Agriculture,10.2,female
Eswatini,Industry,22.2,female
Eswatini,Services,67.6,female
Ethiopia,Agriculture,57.4,female
Ethiopia,Industry,9.8,female
Ethiopia,Services,32.7,female
Fiji,Agriculture,33.9,female
Fiji,Industry,8.4,female
Fiji,Services,57.7,female
Finland,Agriculture,1.9,female
Finland,Industry,8.7,female
Finland,Services,89.4,female
France,Agriculture,1.3,female
France,Industry,9.3,female
France,Services,89.3,female
French Polynesia,Agriculture,3.7,female
French Polynesia,Industry,4.9,female
French Polynesia,Services,91.4,female
Gabon,Agriculture,47.3,female
Gabon,Industry,2.8,female
Gabon,Services,49.9,female
Gambia,Agriculture,32.1,female
Gambia,Industry,4,female
Gambia,Services,63.9,female
Georgia,Agriculture,43.7,female
Georgia,Industry,5.8,female
Georgia,Services,50.5,female
Germany,Agriculture,0.8,female
Germany,Industry,13.5,female
Germany,Services,85.7,female
Ghana,Agriculture,21.3,female
Ghana,Industry,24.1,female
Ghana,Services,54.7,female
Greece,Agriculture,11,female
Greece,Industry,7.6,female
Greece,Services,81.4,female
Guam,Agriculture,0.1,female
Guam,Industry,3.5,female
Guam,Services,96.5,female
Guatemala,Agriculture,9.7,female
Guatemala,Industry,16.5,female
Guatemala,Services,73.8,female
Guinea,Agriculture,62.6,female
Guinea,Industry,2.1,female
Guinea,Services,35.3,female
Guinea-Bissau,Agriculture,70.2,female
Guinea-Bissau,Industry,4.2,female
Guinea-Bissau,Services,25.6,female
Guyana,Agriculture,8.8,female
Guyana,Industry,8.1,female
Guyana,Services,83.2,female
Haiti,Agriculture,12.7,female
Haiti,Industry,1.9,female
Haiti,Services,85.5,female
Honduras,Agriculture,9.8,female
Honduras,Industry,17.4,female
Honduras,Services,72.8,female
Hungary,Agriculture,2.5,female
Hungary,Industry,20,female
Hungary,Services,77.5,female
Iceland,Agriculture,1.3,female
Iceland,Industry,6.8,female
Iceland,Services,91.9,female
India,Agriculture,53.6,female
India,Industry,17.9,female
India,Services,28.5,female
Indonesia,Agriculture,25.5,female
Indonesia,Industry,17.1,female
Indonesia,Services,57.4,female
Iran (Islamic Republic of),Agriculture,20.5,female
Iran (Islamic Republic of),Industry,24.3,female
Iran (Islamic Republic of),Services,55.2,female
Iraq,Agriculture,17.2,female
Iraq,Industry,10.7,female
Iraq,Services,72.1,female
Ireland,Agriculture,1.3,female
Ireland,Industry,8.2,female
Ireland,Services,90.5,female
Israel,Agriculture,0.5,female
Israel,Industry,7.6,female
Israel,Services,91.9,female
Italy,Agriculture,2.2,female
Italy,Industry,12.7,female
Italy,Services,85.1,female
Jamaica,Agriculture,8.4,female
Jamaica,Industry,6,female
Jamaica,Services,85.6,female
Japan,Agriculture,2.9,female
Japan,Industry,13.8,female
Japan,Services,83.3,female
Jordan,Agriculture,0.9,female
Jordan,Industry,12.9,female
Jordan,Services,86.2,female
Kazakhstan,Agriculture,13.9,female
Kazakhstan,Industry,11.2,female
Kazakhstan,Services,74.9,female
Kenya,Agriculture,59.8,female
Kenya,Industry,2,female
Kenya,Services,38.1,female
Kuwait,Agriculture,0,female
Kuwait,Industry,3.3,female
Kuwait,Services,96.7,female
Kyrgyzstan,Agriculture,19.3,female
Kyrgyzstan,Industry,14.7,female
Kyrgyzstan,Services,66,female
Lao People's Dem. Rep.,Agriculture,63.5,female
Lao People's Dem. Rep.,Industry,9,female
Lao People's Dem. Rep.,Services,27.5,female
Latvia,Agriculture,3.7,female
Latvia,Industry,12.7,female
Latvia,Services,83.5,female
Lebanon,Agriculture,14,female
Lebanon,Industry,14,female
