Region/Country/Area,Series,Value
Ecuador,Agriculture,26.5
Ecuador,Industry,10.6
Ecuador,Services,62.9
Egypt,Agriculture,34.9
Egypt,Industry,7.2
Egypt,Services,58
El Salvador,Agriculture,3.3
El Salvador,Industry,17.2
El Salvador,Services,79.5
Equatorial Guinea,Agriculture,42.6
Equatorial Guinea,Industry,10.2
Equatorial Guinea,Services,47.2
Eritrea,Agriculture,65.4
Eritrea,Industry,4.5
Eritrea,Services,30
Estonia,Agriculture,1.5
Estonia,Industry,16.8
Estonia,Services,81.7
Eswatini,Agriculture,10.2
Eswatini,Industry,22.2
Eswatini,Services,67.6
Ethiopia,Agriculture,57.4
Ethiopia,Industry,9.8
Ethiopia,Services,32.7
Fiji,Agriculture,33.9
Fiji,Industry,8.4
Fiji,Services,57.7
Finland,Agriculture,1.9
Finland,Industry,8.7
Finland,Services,89.4
France,Agriculture,1.3
France,Industry,9.3
France,Services,89.3
French Polynesia,Agriculture,3.7
French Polynesia,Industry,4.9
French Polynesia,Services,91.4
Gabon,Agriculture,47.3
Gabon,Industry,2.8
Gabon,Services,49.9
Gambia,Agriculture,32.1
Gambia,Industry,4
Gambia,Services,63.9
Georgia,Agriculture,43.7
Georgia,Industry,5.8
Georgia,Services,50.5
Germany,Agriculture,0.8
Germany,Industry,13.5
Germany,Services,85.7
Ghana,Agriculture,21.3
Ghana,Industry,24.1
Ghana,Services,54.7
Greece,Agriculture,11
Greece,Industry,7.6
Greece,Services,81.4
Guam,Agriculture,0.1
Guam,Industry,3.5
Guam,Services,96.5
Guatemala,Agriculture,9.7
Guatemala,Industry,16.5
Guatemala,Services,73.8
Guinea,Agriculture,62.6
Guinea,Industry,2.1
Guinea,Services,35.3
Guinea-Bissau,Agriculture,70.2
Guinea-Bissau,Industry,4.2
Guinea-Bissau,Services,25.6
Guyana,Agriculture,8.8
Guyana,Industry,8.1
Guyana,Services,83.2
Haiti,Agriculture,12.7
Haiti,Industry,1.9
Haiti,Services,85.5
Honduras,Agriculture,9.8
Honduras,Industry,17.4
Honduras,Services,72.8
Hungary,Agriculture,2.5
Hungary,Industry,20
Hungary,Services,77.5
Iceland,Agriculture,1.3
Iceland,Industry,6.8
Iceland,Services,91.9
India,Agriculture,53.6
India,Industry,17.9
India,Services,28.5
Indonesia,Agriculture,25.5
Indonesia,Industry,17.1
Indonesia,Services,57.4
Iran (Islamic Republic of),Agriculture,20.5
Iran (Islamic Republic of),Industry,24.3
Iran (Islamic Republic of),Services,55.2
Iraq,Agriculture,17.2
Iraq,Industry,10.7
Iraq,Services,72.1
Ireland,Agriculture,1.3
Ireland,Industry,8.2
Ireland,Services,90.5
Israel,Agriculture,0.5
Israel,Industry,7.6
Israel,Services,91.9
Italy,Agriculture,2.2
Italy,Industry,12.7
Italy,Services,85.1
Jamaica,Agriculture,8.4
Jamaica,Industry,6
Jamaica,Services,85.6
Japan,Agriculture,2.9
Japan,Industry,13.8
Japan,Services,83.3
Jordan,Agriculture,0.9
Jordan,Industry,12.9
Jordan,Services,86.2
Kazakhstan,Agriculture,13.9
Kazakhstan,Industry,11.2
Kazakhstan,Services,74.9
Kenya,Agriculture,59.8
Kenya,Industry,2
Kenya,Services,38.1
Kuwait,Agriculture,0
Kuwait,Industry,3.3
Kuwait,Services,96.7
Kyrgyzstan,Agriculture,19.3
Kyrgyzstan,Industry,14.7
Kyrgyzstan,Services,66
Lao People's Dem. Rep.,Agriculture,63.5
Lao People's Dem. Rep.,Industry,9
Lao People's Dem. Rep.,Services,27.5
Latvia,Agriculture,3.7
Latvia,Industry,12.7
Latvia,Services,83.5
Lebanon,Agriculture,14
Lebanon,Industry,14
Lebanon,Services,72
Lesotho,Agriculture,2.9
Lesotho,Industry,30.8
Lesotho,Services,66.4
Liberia,Agriculture,41.1
Liberia,Industry,4.9
Liberia,Services,54
Libya,Agriculture,21.6
Libya,Industry,11.3
Libya,Services,67.1
Lithuania,Agriculture,4.3
Lithuania,Industry,16.4
Lithuania,Services,79.4
Luxembourg,Agriculture,0.5
Luxembourg,Industry,4
Luxembourg,Services,95.5
Madagascar,Agriculture,59.9
Madagascar,Industry,8.6
Madagascar,Services,31.5
Malawi,Agriculture,42.7
Malawi,Industry,10.1
Malawi,Services,47.1
Malaysia,Agriculture,6.1
Malaysia,Industry,19
Malaysia,Services,74.9
Maldives,Agriculture,1.9
Maldives,Industry,20.8
Maldives,Services,77.3
Mali,Agriculture,62.4
Mali,Industry,5.2
Mali,Services,32.4
Malta,Agriculture,0.3
Malta,Industry,8.5
Malta,Services,91.2
Mauritania,Agriculture,49.5
Mauritania,Industry,10.1
Mauritania,Services,40.4
Mauritius,Agriculture,4.9
Mauritius,Industry,15.5
Mauritius,Services,79.7
Mexico,Agriculture,3.4
Mexico,Industry,17.6
Mexico,Services,79
Mongolia,Agriculture,24.1
Mongolia,Industry,11.9
Mongolia,Services,64
Montenegro,Agriculture,7.1
Montenegro,Industry,7.7
Montenegro,Services,85.1
Morocco,Agriculture,53.2
Morocco,Industry,12.5
Morocco,Services,34.3
Mozambique,Agriculture,79.8
Mozambique,Industry,3
Mozambique,Services,17.2
Myanmar,Agriculture,42.9
Myanmar,Industry,15.2
Myanmar,Services,41.9
Namibia,Agriculture,19.9
Namibia,Industry,7.9
Namibia,Services,72.2
Nepal,Agriculture,74.4
Nepal,Industry,8.3
Nepal,Services,17.3
Netherlands,Agriculture,1.2
Netherlands,Industry,6.1
Netherlands,Services,92.7
New Caledonia,Agriculture,0.8
New Caledonia,Industry,6.7
New Caledonia,Services,92.4
New Zealand,Agriculture,3.6
New Zealand,Industry,9
New Zealand,Services,87.5
Nicaragua,Agriculture,8.2
Nicaragua,Industry,11.7
Nicaragua,Services,80.1
Niger,Agriculture,69.5
Niger,Industry,11
Niger,Services,19.6
Nigeria,Agriculture,23.3
Nigeria,Industry,12.8
Nigeria,Services,63.9
North Macedonia,Agriculture,14.1
North Macedonia,Industry,26.5
North Macedonia,Services,59.4
Norway,Agriculture,1
Norway,Industry,6.7
Norway,Services,92.3
Oman,Agriculture,0.3
Oman,Industry,4.1
Oman,Services,95.5
Pakistan,Agriculture,64
Pakistan,Industry,17.3
Pakistan,Services,18.6
Panama,Agriculture,7.8
Panama,Industry,9.7
Panama,Services,82.5
Papua New Guinea,Agriculture,59.8
Papua New Guinea,Industry,2.7
Papua New Guinea,Services,37.5
Paraguay,Agriculture,14.4
Paraguay,Industry,7.7
Paraguay,Services,77.9
Peru,Agriculture,25.7
Peru,Industry,8.5
Peru,Services,65.9
Philippines,Agriculture,13.2
Philippines,Industry,9.8
Philippines,Services,77
Poland,Agriculture,7.7
Poland,Industry,17.2
Poland,Services,75.1
Portugal,Agriculture,3.7
Portugal,Industry,15
Portugal,Services,81.4
Puerto Rico,Agriculture,0.3
Puerto Rico,Industry,7.9
Puerto Rico,Services,91.8
Qatar,Agriculture,0
Qatar,Industry,6.4
Qatar,Services,93.6
Republic of Korea,Agriculture,4.5
Republic of Korea,Industry,13.2
Republic of Korea,Services,82.3
Republic of Moldova,Agriculture,32.1
Republic of Moldova,Industry,11.8
Republic of Moldova,Services,56.1
Romania,Agriculture,21.1
Romania,Industry,21.4
Romania,Services,57.5
Russian Federation,Agriculture,3.8
Russian Federation,Industry,15.5
Russian Federation,Services,80.8
Rwanda,Agriculture,70.7
Rwanda,Industry,2.9
Rwanda,Services,26.4
Saint Lucia,Agriculture,11.2
Saint Lucia,Industry,7.1
Saint Lucia,Services,81.7
Saint Vincent & Grenadines,Agriculture,4.6
Saint Vincent & Grenadines,Industry,6.7
Saint Vincent & Grenadines,Services,88.7
Samoa,Agriculture,6.4
Samoa,Industry,33.2
Samoa,Services,60.3
Sao Tome and Principe,Agriculture,8.5
Sao Tome and Principe,Industry,3.3
Sao Tome and Principe,Services,88.2
Saudi Arabia,Agriculture,0.3
Saudi Arabia,Industry,2.1
Saudi Arabia,Services,97.6
Senegal,Agriculture,24.3
Senegal,Industry,5.5
Senegal,Services,70.3
Serbia,Agriculture,12.7
Serbia,Industry,18.9
Serbia,Services,68.3
Sierra Leone,Agriculture,51.3
Sierra Leone,Industry,1.4
Sierra Leone,Services,47.3
Singapore,Agriculture,0.3
Singapore,Industry,10.4
Singapore,Services,89.3
Slovakia,Agriculture,1
Slovakia,Industry,20.1
Slovakia,Services,78.9
Slovenia,Agriculture,4.5
Slovenia,Industry,20.2
Slovenia,Services,75.3
Solomon Islands,Agriculture,36.9
Solomon Islands,Industry,4.2
Solomon Islands,Services,58.9
Somalia,Agriculture,86.8
Somalia,Industry,1.6
Somalia,Services,11.6
South Africa,Agriculture,3.6
South Africa,Industry,11.3
South Africa,Services,85.1
South Sudan,Agriculture,72.5
South Sudan,Industry,8
South Sudan,Services,19.5
Spain,Agriculture,2
Spain,Industry,8.9
Spain,Services,89.1
Sri Lanka,Agriculture,26.5
Sri Lanka,Industry,28.4
Sri Lanka,Services,45
State of Palestine,Agriculture,6.4
State of Palestine,Industry,9.6
State of Palestine,Services,84
Sudan,Agriculture,53.5
Sudan,Industry,4.3
Sudan,Services,42.2
Suriname,Agriculture,4
Suriname,Industry,7.1
Suriname,Services,88.9
Sweden,Agriculture,0.8
Sweden,Industry,6.8
Sweden,Services,92.3
Switzerland,Agriculture,2.4
Switzerland,Industry,9.5
Switzerland,Services,88.1
Syrian Arab Republic,Agriculture,7.9
Syrian Arab Republic,Industry,7.7
Syrian Arab Republic,Services,84.4
Tajikistan,Agriculture,59.4
Tajikistan,Industry,7.4
Tajikistan,Services,33.2
Thailand,Agriculture,28.2
Thailand,Industry,19.6
Thailand,Services,52.2
Timor-Leste,Agriculture,40.3
Timor-Leste,Industry,7.8
Timor-Leste,Services,51.9
Togo,Agriculture,35
Togo,Industry,13.1
Togo,Services,51.9
Tonga,Agriculture,2.3
Tonga,Industry,51.3
Tonga,Services,46.4
Trinidad and Tobago,Agriculture,1.3
Trinidad and Tobago,Industry,12.4
Trinidad and Tobago,Services,86.3
Tunisia,Agriculture,9.2
Tunisia,Industry,32.6
Tunisia,Services,58.1
Turkey,Agriculture,25.3
Turkey,Industry,15.5
Turkey,Services,59.2
Turkmenistan,Agriculture,18.8
Turkmenistan,Industry,38.3
Turkmenistan,Services,43
Uganda,Agriculture,76.8
Uganda,Industry,3.2
Uganda,Services,20
Ukraine,Agriculture,11.8
Ukraine,Industry,13.7
Ukraine,Services,74.5
United Arab Emirates,Agriculture,0
United Arab Emirates,Industry,5.4
United Arab Emirates,Services,94.6
United Kingdom,Agriculture,0.6
United Kingdom,Industry,7.2
United Kingdom,Services,92.2
United Rep. of Tanzania,Agriculture,66.9
United Rep. of Tanzania,Industry,3.1
United Rep. of Tanzania,Services,30
United States of America,Agriculture,0.7
United States of America,Industry,8.6
United States of America,Services,90.7
United States Virgin Islands,Agriculture,0.8
United States Virgin Islands,Industry,7.5
United States Virgin Islands,Services,91.7
Uruguay,Agriculture,3.5
Uruguay,Industry,8.2
Uruguay,Services,88.3
Uzbekistan,Agriculture,23.9
Uzbekistan,Industry,17.4
Uzbekistan,Services,58.7
Vanuatu,Agriculture,54.2
Vanuatu,Industry,2.3
Vanuatu,Services,43.5
Venezuela (Boliv. Rep. of),Agriculture,1.1
Venezuela (Boliv. Rep. of),Industry,7.7
Venezuela (Boliv. Rep. of),Services,91.2
Viet Nam,Agriculture,37.5
Viet Nam,Industry,23.7
Viet Nam,Services,38.8
Western Sahara,Agriculture,27.4
Western Sahara,Industry,12.8
Western Sahara,Services,59.8
Yemen,Agriculture,46
Yemen,Industry,10.9
Yemen,Services,43.2
Zambia,Agriculture,53.6
Zambia,Industry,4.4
Zambia,Services,41.9
Zimbabwe,Agriculture,69.6
Zimbabwe,Industry,1.9
Zimbabwe,Services,28.5
